,Ref,Status,Location,Name,Created,Type,Status Changed,Open Actions,Total Actions,OverDue,Project,Report Forms Status,Report Forms Group,Created_Sec,Status Changed_Sec,Create_to_Last_StatusChanged(s),Create_to_Last_StatusChanged(weeks),Create_to_Last_StatusChanged(days)
3518,F84104.138,Completed and signed off,Site Management>JPC Project Management,EHS Managment Inspection - Daily,09/08/2019,Safety Forms,09/08/2019,0,2,False,1328,Closed,Safety,1565301600,1565301600,0,0,0
3521,F84104.128,Completed and signed off,1328 - Townsend St,EHS Managment Inspection - Daily,07/08/2019,Safety Forms,08/08/2019,0,11,False,1328,Closed,Safety,1565128800,1565215200,86400,0,1
3524,F90895.8,Completed and signed off,EHS Management>JPC Project Management,EHS Managment Inspection - Daily,06/08/2019,Safety Forms,19/08/2019,0,9,False,1328,Closed,Safety,1565042400,1566165600,1123200,1,13
3529,F76201.465,Completed and signed off,EHS Management>JPC Project Management,EHS Managment Inspection - Daily,02/08/2019,Safety Forms,02/08/2019,0,0,False,1328,Closed,Safety,1564696800,1564696800,0,0,0
3530,F84104.126,Closed,1328 - Townsend St,1328 - EHS Inspection,02/08/2019,Safety Forms,20/08/2019,0,13,False,1328,Closed,Safety,1564696800,1566252000,1555200,2,18
3531,F74906.62,Completed and signed off,EHS Management>JPC Project Management,EHS Managment Inspection - Daily,01/08/2019,Safety Forms,20/08/2019,0,6,False,1328,Closed,Safety,1564610400,1566252000,1641600,2,19
3535,F1.237973,Completed and signed off,1328 - Townsend St,EHS Managment Inspection - Daily,31/07/2019,Safety Forms,06/08/2019,0,8,False,1328,Closed,Safety,1564524000,1565042400,518400,0,6
3538,F84104.116,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,31/07/2019,Safety Forms,06/08/2019,0,12,False,1328,Closed,Safety,1564524000,1565042400,518400,0,6
3540,F90895.7,Completed and signed off,Block 3>ITP 01 Structural>QC & BC(A)R,EHS Managment Inspection - Daily,30/07/2019,Safety Forms,12/08/2019,0,2,False,1328,Closed,Safety,1564437600,1565560800,1123200,1,13
3547,F84104.99,Closed,1328 - Townsend St,1328 - EHS Inspection,26/07/2019,Safety Forms,06/08/2019,0,11,False,1328,Closed,Safety,1564092000,1565042400,950400,1,11
3549,F76201.458,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,26/07/2019,Safety Forms,06/08/2019,0,23,False,1328,Closed,Safety,1564092000,1565042400,950400,1,11
3552,F74907.17,Closed,1328 - Townsend St,CONTRACTS MANAGER SAFETY ASSESSMENT (monthly),25/07/2019,Safety Forms,12/09/2019,0,0,False,1328,Closed,Safety,1564005600,1568239200,4233600,7,49
3553,F74907.14,Closed,01 Inspections>EHS Management>JPC Project Management,1328 - EHS Inspection,25/07/2019,Safety Forms,12/08/2019,0,0,False,1328,Closed,Safety,1564005600,1565560800,1555200,2,18
3554,F74907.13,Closed,01 Inspections>EHS Management>JPC Project Management,1328 - EHS Inspection,25/07/2019,Safety Forms,12/08/2019,0,0,False,1328,Closed,Safety,1564005600,1565560800,1555200,2,18
3559,F84104.110,Completed and signed off,Block 3>ITP 01 Structural>QC & BC(A)R,EHS Managment Inspection - Daily,29/07/2019,Safety Forms,12/08/2019,0,8,False,1328,Closed,Safety,1564351200,1565560800,1209600,2,14
3565,F90895.4,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,24/07/2019,Safety Forms,31/07/2019,0,12,False,1328,Closed,Safety,1563919200,1564524000,604800,1,7
3568,F90895.3,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,23/07/2019,Safety Forms,24/07/2019,0,3,False,1328,Closed,Safety,1563832800,1563919200,86400,0,1
3572,F76201.454,Closed,1328 - Townsend St,CM-EHS-FRM-002 - Contracts Manager Site Safety Walk (General).,22/07/2019,Safety Forms,12/09/2019,0,0,False,1328,Closed,Safety,1563746400,1568239200,4492800,7,52
3574,F84104.79,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,22/07/2019,Safety Forms,24/07/2019,0,3,False,1328,Closed,Safety,1563746400,1563919200,172800,0,2
3582,F84104.76,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,19/07/2019,Safety Forms,24/07/2019,0,6,False,1328,Closed,Safety,1563487200,1563919200,432000,0,5
3583,F76201.453,Closed,1328 - Townsend St,1328 - EHS Inspection,19/07/2019,Safety Forms,24/07/2019,0,10,False,1328,Closed,Safety,1563487200,1563919200,432000,0,5
3586,F84104.93,Completed and signed off,Site Management>JPC Project Management,EHS Managment Inspection - Daily,25/07/2019,Safety Forms,30/07/2019,0,3,False,1328,Closed,Safety,1564005600,1564437600,432000,0,5
3589,F84104.72,Completed and signed off,1328 - Townsend St,EHS Managment Inspection - Daily,18/07/2019,Safety Forms,19/07/2019,0,10,False,1328,Closed,Safety,1563400800,1563487200,86400,0,1
3594,F76201.445,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,16/07/2019,Safety Forms,19/07/2019,0,0,False,1328,Closed,Safety,1563228000,1563487200,259200,0,3
3598,F84104.59,Completed and signed off,EHS Management>JPC Project Management,EHS Managment Inspection - Daily,16/07/2019,Safety Forms,19/07/2019,0,2,False,1328,Closed,Safety,1563228000,1563487200,259200,0,3
3602,F90896.2,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,17/07/2019,Safety Forms,19/07/2019,0,8,False,1328,Closed,Safety,1563314400,1563487200,172800,0,2
3607,F74906.54,Completed and signed off,EHS Management>JPC Project Management,EHS Managment Inspection - Daily,11/07/2019,Safety Forms,19/07/2019,0,6,False,1328,Closed,Safety,1562796000,1563487200,691200,1,8
3615,F76201.427,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,09/07/2019,Safety Forms,19/07/2019,0,6,False,1328,Closed,Safety,1562623200,1563487200,864000,1,10
3622,F76201.426,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,08/07/2019,Safety Forms,19/07/2019,0,14,False,1328,Closed,Safety,1562536800,1563487200,950400,1,11
3623,F84104.39,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,08/07/2019,Safety Forms,12/07/2019,0,2,False,1328,Closed,Safety,1562536800,1562882400,345600,0,4
3627,F76201.425,Closed,1328 - Townsend St,1328 - EHS Inspection,05/07/2019,Safety Forms,19/07/2019,0,13,False,1328,Closed,Safety,1562277600,1563487200,1209600,2,14
3632,F90895.2,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,12/07/2019,Safety Forms,22/07/2019,0,8,False,1328,Closed,Safety,1562882400,1563746400,864000,1,10
3633,F84104.51,Closed,1328 - Townsend St,1328 - EHS Inspection,12/07/2019,Safety Forms,19/07/2019,0,9,False,1328,Closed,Safety,1562882400,1563487200,604800,1,7
3636,F76201.435,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,10/07/2019,Safety Forms,12/09/2019,0,13,False,1328,Closed,Safety,1562709600,1568239200,5529600,9,64
3638,F76201.424,Completed and signed off,1328 - Townsend St,EHS Managment Inspection - Daily,04/07/2019,Safety Forms,12/07/2019,0,12,False,1328,Closed,Safety,1562191200,1562882400,691200,1,8
3642,F76201.423,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,04/07/2019,Safety Forms,12/07/2019,0,13,False,1328,Closed,Safety,1562191200,1562882400,691200,1,8
3652,F76201.413,Completed and signed off,EHS Management>JPC Project Management,EHS Managment Inspection - Daily,02/07/2019,Safety Forms,12/07/2019,0,4,False,1328,Closed,Safety,1562018400,1562882400,864000,1,10
3657,F74906.53,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,01/07/2019,Safety Forms,03/07/2019,0,8,False,1328,Closed,Safety,1561932000,1562104800,172800,0,2
3660,F84104.18,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,28/06/2019,Safety Forms,03/07/2019,0,2,False,1328,Closed,Safety,1561672800,1562104800,432000,0,5
3670,F84104.17,Completed and signed off,1328 - Townsend St,EHS Managment Inspection - Daily,25/06/2019,Safety Forms,03/07/2019,0,6,False,1328,Closed,Safety,1561413600,1562104800,691200,1,8
3676,F74906.49,Completed and signed off,Site Management>JPC Project Management,EHS Managment Inspection - Daily,24/06/2019,Safety Forms,03/07/2019,0,5,False,1328,Closed,Safety,1561327200,1562104800,777600,1,9
3678,F76201.358,Closed,01 Inspections>EHS Management>JPC Project Management,1328 - EHS Inspection,21/06/2019,Safety Forms,03/07/2019,0,4,False,1328,Closed,Safety,1561068000,1562104800,1036800,1,12
3679,F76201.357,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,21/06/2019,Safety Forms,03/07/2019,0,2,False,1328,Closed,Safety,1561068000,1562104800,1036800,1,12
3686,F76201.348,Completed and signed off,EHS Management>JPC Project Management,EHS Managment Inspection - Daily,20/06/2019,Safety Forms,03/07/2019,0,1,False,1328,Closed,Safety,1560981600,1562104800,1123200,1,13
3692,F76201.341,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,19/06/2019,Safety Forms,03/07/2019,0,7,False,1328,Closed,Safety,1560895200,1562104800,1209600,2,14
3697,F76201.334,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,18/06/2019,Safety Forms,20/06/2019,0,3,False,1328,Closed,Safety,1560808800,1560981600,172800,0,2
3698,F76201.388,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,27/06/2019,Safety Forms,31/07/2019,0,7,False,1328,Closed,Safety,1561586400,1564524000,2937600,4,34
3701,F1.221075,Closed,1328 - Townsend St,1328 - EHS Inspection,26/06/2019,Safety Forms,03/07/2019,0,7,False,1328,Closed,Safety,1561500000,1562104800,604800,1,7
3705,F76201.378,Completed and signed off,EHS Management>JPC Project Management,EHS Managment Inspection - Daily,26/06/2019,Safety Forms,03/07/2019,0,2,False,1328,Closed,Safety,1561500000,1562104800,604800,1,7
3708,F76201.326,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,17/06/2019,Safety Forms,20/06/2019,0,9,False,1328,Closed,Safety,1560722400,1560981600,259200,0,3
3709,F76201.323,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,14/06/2019,Safety Forms,20/06/2019,0,0,False,1328,Closed,Safety,1560463200,1560981600,518400,0,6
3711,F84104.16,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,13/06/2019,Safety Forms,20/06/2019,0,0,False,1328,Closed,Safety,1560376800,1560981600,604800,1,7
3715,F76201.318,Closed,Site Management>JPC Project Management,1328 - EHS Inspection,12/06/2019,Safety Forms,20/06/2019,0,6,False,1328,Closed,Safety,1560290400,1560981600,691200,1,8
3718,F74906.48,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,11/06/2019,Safety Forms,03/07/2019,0,2,False,1328,Closed,Safety,1560204000,1562104800,1900800,3,22
3719,F74906.46,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,11/06/2019,Safety Forms,20/06/2019,0,0,False,1328,Closed,Safety,1560204000,1560981600,777600,1,9
3720,F76201.300,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,11/06/2019,Safety Forms,20/06/2019,0,0,False,1328,Closed,Safety,1560204000,1560981600,777600,1,9
3729,F76201.287,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,07/06/2019,Safety Forms,10/06/2019,0,0,False,1328,Closed,Safety,1559858400,1560117600,259200,0,3
3731,F76201.284,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,06/06/2019,Safety Forms,10/06/2019,0,0,False,1328,Closed,Safety,1559772000,1560117600,345600,0,4
3746,F76201.273,Completed and signed off,03 Safety Notices>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,05/06/2019,Safety Forms,10/06/2019,0,9,False,1328,Closed,Safety,1559685600,1560117600,432000,0,5
3781,F76201.247,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,04/06/2019,Safety Forms,06/06/2019,0,0,False,1328,Closed,Safety,1559599200,1559772000,172800,0,2
3784,F76201.243,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,31/05/2019,Safety Forms,06/06/2019,0,0,False,1328,Closed,Safety,1559253600,1559772000,518400,0,6
3787,F76201.235,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,30/05/2019,Safety Forms,06/06/2019,0,0,False,1328,Closed,Safety,1559167200,1559772000,604800,1,7
3810,F84104.11,Completed and signed off,1328 - Townsend St,EHS Managment Inspection - Daily,29/05/2019,Safety Forms,06/06/2019,0,0,False,1328,Closed,Safety,1559080800,1559772000,691200,1,8
3811,F76201.212,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,28/05/2019,Safety Forms,06/06/2019,0,0,False,1328,Closed,Safety,1558994400,1559772000,777600,1,9
3812,F76201.211,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,28/05/2019,Safety Forms,06/06/2019,0,0,False,1328,Closed,Safety,1558994400,1559772000,777600,1,9
3814,F74906.20,Completed and signed off,1328 - Townsend St,EHS Managment Inspection - Daily,28/05/2019,Safety Forms,06/06/2019,0,0,False,1328,Closed,Safety,1558994400,1559772000,777600,1,9
3816,F76201.208,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,24/05/2019,Safety Forms,30/05/2019,0,0,False,1328,Closed,Safety,1558648800,1559167200,518400,0,6
3820,F76201.204,Closed,1328 - Townsend St,EHS Inspection.,24/05/2019,Safety Forms,31/05/2019,0,7,False,1328,Closed,Safety,1558648800,1559253600,604800,1,7
3823,F76201.196,Completed and signed off,1328 - Townsend St,EHS Managment Inspection - Daily,23/05/2019,Safety Forms,30/05/2019,0,13,False,1328,Closed,Safety,1558562400,1559167200,604800,1,7
3825,F76201.193,Completed and signed off,1328 - Townsend St,EHS Managment Inspection - Daily,23/05/2019,Safety Forms,30/05/2019,0,6,False,1328,Closed,Safety,1558562400,1559167200,604800,1,7
3828,F74906.18,Completed and signed off,1328 - Townsend St,EHS Managment Inspection - Daily,21/05/2019,Safety Forms,30/05/2019,0,0,False,1328,Closed,Safety,1558389600,1559167200,777600,1,9
3830,F76201.180,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,21/05/2019,Safety Forms,30/05/2019,0,0,False,1328,Closed,Safety,1558389600,1559167200,777600,1,9
3834,F76201.175,Closed,1328 - Townsend St,EHS Inspection.,17/05/2019,Safety Forms,30/05/2019,0,7,False,1328,Closed,Safety,1558044000,1559167200,1123200,1,13
3835,F76201.174,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,17/05/2019,Safety Forms,22/05/2019,0,0,False,1328,Closed,Safety,1558044000,1558476000,432000,0,5
3839,F76201.170,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,16/05/2019,Safety Forms,22/05/2019,0,0,False,1328,Closed,Safety,1557957600,1558476000,518400,0,6
3844,F76201.161,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,15/05/2019,Safety Forms,16/05/2019,0,0,False,1328,Closed,Safety,1557871200,1557957600,86400,0,1
3849,F76201.149,Completed and signed off,1328 - Townsend St,EHS Managment Inspection - Daily,13/05/2019,Safety Forms,16/05/2019,0,1,False,1328,Closed,Safety,1557698400,1557957600,259200,0,3
3851,F76201.135,Closed,1328 - Townsend St,EHS Inspection.,10/05/2019,Safety Forms,22/05/2019,0,0,False,1328,Closed,Safety,1557439200,1558476000,1036800,1,12
3853,F76201.133,Completed and signed off,1328 - Townsend St,EHS Managment Inspection - Daily,10/05/2019,Safety Forms,16/05/2019,0,0,False,1328,Closed,Safety,1557439200,1557957600,518400,0,6
3854,F76201.132,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,09/05/2019,Safety Forms,16/05/2019,0,0,False,1328,Closed,Safety,1557352800,1557957600,604800,1,7
3859,F76201.128,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,08/05/2019,Safety Forms,16/05/2019,0,0,False,1328,Closed,Safety,1557266400,1557957600,691200,1,8
3973,F76201.110,Completed and signed off,EHS Management>JPC Project Management,EHS Managment Inspection - Daily,08/05/2019,Safety Forms,10/05/2019,0,0,False,1328,Closed,Safety,1557266400,1557439200,172800,0,2
3976,F76201.104,Closed,1328 - Townsend St,EHS Inspection.,03/05/2019,Safety Forms,08/05/2019,0,0,False,1328,Closed,Safety,1556834400,1557266400,432000,0,5
3977,F76201.103,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,03/05/2019,Safety Forms,08/05/2019,0,0,False,1328,Closed,Safety,1556834400,1557266400,432000,0,5
3978,F74906.17,Completed and signed off,1328 - Townsend St,EHS Managment Inspection - Daily,03/05/2019,Safety Forms,08/05/2019,0,0,False,1328,Closed,Safety,1556834400,1557266400,432000,0,5
3984,F76201.97,Completed and signed off,1328 - Townsend St,EHS Managment Inspection - Daily,30/04/2019,Safety Forms,08/05/2019,0,0,False,1328,Closed,Safety,1556575200,1557266400,691200,1,8
3985,F76201.96,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,30/04/2019,Safety Forms,08/05/2019,0,0,False,1328,Closed,Safety,1556575200,1557266400,691200,1,8
3986,F1.196549,Permit to Unload / Dismantle (Closed),1328 - Townsend St,CM-EHS-FRM-003 Temporary Works / Permit to Load,29/04/2019,Safety Forms,29/04/2019,0,0,False,1328,Closed,Safety,1556488800,1556488800,0,0,0
3990,F76201.92,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,25/04/2019,Safety Forms,08/05/2019,0,0,False,1328,Closed,Safety,1556143200,1557266400,1123200,1,13
3991,F76201.89,Closed,1328 - Townsend St,EHS Inspection.,25/04/2019,Safety Forms,08/05/2019,0,0,False,1328,Closed,Safety,1556143200,1557266400,1123200,1,13
3993,F76201.87,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,25/04/2019,Safety Forms,08/05/2019,0,0,False,1328,Closed,Safety,1556143200,1557266400,1123200,1,13
3995,F76201.85,Completed and signed off,1328 - Townsend St,EHS Managment Inspection - Daily,23/04/2019,Safety Forms,08/05/2019,0,0,False,1328,Closed,Safety,1555970400,1557266400,1296000,2,15
3996,F76201.84,Closed,1328 - Townsend St,EHS Inspection.,19/04/2019,Safety Forms,08/05/2019,0,0,False,1328,Closed,Safety,1555624800,1557266400,1641600,2,19
3999,F76201.78,Completed and signed off,1328 - Townsend St,EHS Managment Inspection - Daily,18/04/2019,Safety Forms,16/05/2019,0,0,False,1328,Closed,Safety,1555538400,1557957600,2419200,4,28
4001,F76201.75,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,16/04/2019,Safety Forms,16/05/2019,0,0,False,1328,Closed,Safety,1555365600,1557957600,2592000,4,30
4002,F76201.70,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,16/04/2019,Safety Forms,16/05/2019,0,0,False,1328,Closed,Safety,1555365600,1557957600,2592000,4,30
4004,F76201.68,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,15/04/2019,Safety Forms,16/05/2019,0,0,False,1328,Closed,Safety,1555279200,1557957600,2678400,4,31
4005,F76201.67,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,15/04/2019,Safety Forms,16/05/2019,0,0,False,1328,Closed,Safety,1555279200,1557957600,2678400,4,31
4006,F76201.66,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,15/04/2019,Safety Forms,22/07/2019,0,0,False,1328,Closed,Safety,1555279200,1563746400,8467200,14,98
4008,F76201.63,Closed,1328 - Townsend St,EHS Inspection.,12/04/2019,Safety Forms,22/07/2019,0,0,False,1328,Closed,Safety,1555020000,1563746400,8726400,14,101
4011,F76201.58,Completed and signed off,1328 - Townsend St,EHS Managment Inspection - Daily,10/04/2019,Safety Forms,22/07/2019,0,0,False,1328,Closed,Safety,1554847200,1563746400,8899200,14,103
4013,F76201.55,Completed and signed off,1328 - Townsend St,EHS Managment Inspection - Daily,09/04/2019,Safety Forms,22/07/2019,0,0,False,1328,Closed,Safety,1554760800,1563746400,8985600,14,104
4015,F76201.52,Completed and signed off,1328 - Townsend St,EHS Managment Inspection - Daily,08/04/2019,Safety Forms,22/07/2019,0,0,False,1328,Closed,Safety,1554674400,1563746400,9072000,15,105
4020,F76201.46,Closed,01 Inspections>EHS Management>JPC Project Management,EHS Inspection.,05/04/2019,Safety Forms,22/07/2019,0,0,False,1328,Closed,Safety,1554415200,1563746400,9331200,15,108
4025,F76201.43,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,03/04/2019,Safety Forms,22/07/2019,0,0,False,1328,Closed,Safety,1554242400,1563746400,9504000,15,110
4029,F76201.33,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,02/04/2019,Safety Forms,22/07/2019,0,0,False,1328,Closed,Safety,1554156000,1563746400,9590400,15,111
4033,F76201.27,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,28/03/2019,Safety Forms,28/03/2019,0,0,False,1328,Closed,Safety,1553727600,1553727600,0,0,0
4034,F76201.26,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,28/03/2019,Safety Forms,19/07/2019,0,4,False,1328,Closed,Safety,1553727600,1563487200,9759600,16,112
4035,F76201.25,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,28/03/2019,Safety Forms,19/07/2019,0,1,False,1328,Closed,Safety,1553727600,1563487200,9759600,16,112
4043,F102314.114,Open / Ongoing Works,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,14/09/2020,Safety Forms,14/09/2020,4,6,False,1329,Open,Safety,1600034400,1600034400,0,0,0
4044,F91214.457,Open / Ongoing Works,04 Staturatury Forms>EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,11/09/2020,Safety Forms,11/09/2020,0,0,False,1329,Open,Safety,1599775200,1599775200,0,0,0
4047,F102314.113,Opened,01 Inspections>EHS Management>JPC Project Management,EHS Inspection.,11/09/2020,Safety Forms,11/09/2020,9,13,False,1329,Open,Safety,1599775200,1599775200,0,0,0
4050,F102314.112,Open / Ongoing Works,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-007 COVID-19 Inspection,10/09/2020,Safety Forms,11/09/2020,0,0,False,1329,Open,Safety,1599688800,1599775200,86400,0,1
4052,F102314.110,Open / Ongoing Works,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,10/09/2020,Safety Forms,10/09/2020,1,5,False,1329,Open,Safety,1599688800,1599688800,0,0,0
4057,F133598.102,Open / Ongoing Works,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,09/09/2020,Safety Forms,09/09/2020,0,6,False,1329,Open,Safety,1599602400,1599602400,0,0,0
4060,F92677.447,Closed,04 Staturatury Forms>EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,08/09/2020,Safety Forms,08/09/2020,1,6,False,1329,Closed,Safety,1599516000,1599516000,0,0,0
4061,F133598.101,Open / Ongoing Works,04 Staturatury Forms>EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,08/09/2020,Safety Forms,08/09/2020,0,0,False,1329,Open,Safety,1599516000,1599516000,0,0,0
4062,F133598.100,Open / Ongoing Works,EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,08/09/2020,Safety Forms,08/09/2020,0,1,False,1329,Open,Safety,1599516000,1599516000,0,0,0
4066,F92677.444,Open / Ongoing Works,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,07/09/2020,Safety Forms,07/09/2020,0,4,False,1329,Open,Safety,1599429600,1599429600,0,0,0
4071,F102314.107,Opened,01 Inspections>EHS Management>JPC Project Management,EHS Inspection.,04/09/2020,Safety Forms,04/09/2020,1,11,False,1329,Open,Safety,1599170400,1599170400,0,0,0
4072,F102314.106,Open / Ongoing Works,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,04/09/2020,Safety Forms,04/09/2020,0,3,False,1329,Open,Safety,1599170400,1599170400,0,0,0
4076,F129164.21,Open,1329 - 19-22 Kildare Street,CM-EHS-FRM-002 - Contracts Manager Site Safety Walk (General).,04/09/2020,Safety Forms,04/09/2020,0,0,False,1329,Open,Safety,1599170400,1599170400,0,0,0
4084,F91214.456,Open / Ongoing Works,04 Staturatury Forms>EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,03/09/2020,Safety Forms,03/09/2020,0,0,False,1329,Open,Safety,1599084000,1599084000,0,0,0
4085,F133598.96,Open / Ongoing Works,04 Staturatury Forms>EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,03/09/2020,Safety Forms,03/09/2020,0,0,False,1329,Open,Safety,1599084000,1599084000,0,0,0
4095,F102314.105,Open / Ongoing Works,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-007 COVID-19 Inspection,02/09/2020,Safety Forms,03/09/2020,0,0,False,1329,Open,Safety,1598997600,1599084000,86400,0,1
4096,F102314.104,Open / Ongoing Works,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,02/09/2020,Safety Forms,03/09/2020,0,5,False,1329,Open,Safety,1598997600,1599084000,86400,0,1
4106,F91214.452,Closed,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,01/09/2020,Safety Forms,02/09/2020,0,3,False,1329,Closed,Safety,1598911200,1598997600,86400,0,1
4107,F91214.450,Opened,01 Inspections>EHS Management>JPC Project Management,EHS Inspection.,01/09/2020,Safety Forms,03/09/2020,0,0,False,1329,Open,Safety,1598911200,1599084000,172800,0,2
4112,F129164.20,Opened,1329 - 19-22 Kildare Street,CONTRACTS MANAGER SAFETY ASSESSMENT (monthly),01/09/2020,Safety Forms,01/09/2020,0,0,False,1329,Open,Safety,1598911200,1598911200,0,0,0
4113,F133598.95,Closed,EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,31/08/2020,Safety Forms,31/08/2020,0,4,False,1329,Closed,Safety,1598824800,1598824800,0,0,0
4114,F133598.94,Open / Ongoing Works,04 Staturatury Forms>EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,31/08/2020,Safety Forms,31/08/2020,0,0,False,1329,Open,Safety,1598824800,1598824800,0,0,0
